title,author,rating,votes,year,times.shelved,genre,adapt,rating.adapt,votes.adapt,year.adapt,type.adapt
The Diary of a Young Girl,Anne Frank,4.15,2654438,1947,5509,Biography,Yes,7.4,11708,1959,Movie
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.37,741594,2010,3606,Biography,Yes,7.2,141408,2014,Movie
John Adams,David McCullough,4.06,300800,2001,3301,Biography,Yes,8.5,27179,2008,TV
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4.23,218715,2015,2982,Biography,No,NA,NA,NA,NA
Becoming,Michelle Obama,4.55,489395,2018,2917,Biography,Yes,6.8,4279,2020,Movie
Bossypants,Tina Fey,3.95,826097,2011,2897,Biography,No,NA,NA,NA,NA
Alexander Hamilton,Ron Chernow,4.22,117150,2004,2861,Biography,Yes,9,16104,2020,Movie
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.07,567756,2010,2859,Biography,Yes,6.3,3011,2017,TV
Einstein: His Life and Universe,Walter Isaacson,4.13,126782,2007,2818,Biography,No,NA,NA,NA,NA
Into the Wild,Jon Krakauer,3.98,857088,1996,2527,Biography,Yes,8.1,556532,2007,Movie
Educated,Tara Westover,4.47,701574,2018,2459,Biography,No,NA,NA,NA,NA
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.12,397891,2012,2304,Biography,No,NA,NA,NA,NA
Born a Crime: Stories From a South African Childhood,Trevor Noah,4.45,343002,2016,2299,Biography,No,NA,NA,NA,NA
The Autobiography of Malcolm X,Malcolm X,4.32,191895,1965,2220,Biography,Yes,7.7,82547,1992,Movie
Benjamin Franklin: An American Life,Walter Isaacson,4,109620,2003,2141,Biography,No,NA,NA,NA,NA
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,4.28,149725,1985,1986,Biography,No,NA,NA,NA,NA
Night,Elie Wiesel,4.33,945958,1956,1918,Biography,No,NA,NA,NA,NA
Leonardo da Vinci,Walter Isaacson,4.17,52428,2017,1891,Biography,No,NA,NA,NA,NA
Yes Please,Amy Poehler,3.83,415901,2014,1762,Biography,No,NA,NA,NA,NA
Cleopatra: A Life,Stacy Schiff,3.68,96346,2010,1732,Biography,Yes,NA,239141,2012,NA
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.29,146048,2005,1732,Biography,No,7.3,NA,NA,Movie
The Glass Castle,Jeannette Walls,4.28,877258,2005,1684,Biography,Yes,NA,27858,2017,Movie
The Glass Castle,Jeannette Walls,4.28,877258,2005,1684,Biography,Yes,7.1,27858,2017,Movie
Catherine the Great: Portrait of a Woman,Robert K. Massie,3.92,92333,2011,1634,Biography,No,7.1,NA,NA,NA
"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,4.22,55622,2009,1622,Biography,No,NA,NA,NA,NA
I Know Why the Caged Bird Sings,Maya Angelou,4.23,392052,1969,1589,Biography,No,NA,NA,NA,TV
Washington: A Life,Ron Chernow,4.1,51080,2010,1587,Biography,Yes,NA,250,1979,NA
When Breath Becomes Air,Paul Kalanithi,4.36,391828,2016,1584,Biography,Yes,7.2,NA,2015,Other - Online Documentary
Angela's Ashes,Frank McCourt,4.11,527669,1996,1579,Biography,Yes,NA,19802,1999,Movie
The Rise of Theodore Roosevelt,Edmund Morris,4.24,41183,1979,1540,Biography,No,7.3,NA,NA,NA
The Autobiography of Benjamin Franklin,Benjamin Franklin,3.83,65939,1791,1498,Biography,No,NA,NA,NA,NA
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.01,595228,2012,1403,Biography,Yes,NA,116902,2014,Movie
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.89,185772,1995,1370,Biography,No,7.1,NA,NA,NA
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.43,248127,1971,1356,Biography,Yes,NA,1722,1977,Movie
The Wright Brothers,David McCullough,4.15,70637,2015,1355,Biography,No,7.5,NA,NA,NA
Long Walk to Freedom,Nelson Mandela,4.34,63928,1994,1354,Biography,Yes,NA,25967,2013,Movie
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,3.93,286153,2016,1289,Biography,Yes,7.1,NA,2020,Movie
Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,4.49,130582,2016,1226,Biography,No,NA,NA,NA,NA
"Eat, Pray, Love",Elizabeth Gilbert,3.56,1441358,2006,1186,Biography,Yes,NA,85229,2010,Movie
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,4.2,18818,1998,1177,Biography,No,5.8,NA,NA,NA
Is Everyone Hanging Out Without Me?,Mindy Kaling,3.86,409792,2011,1175,Biography,No,NA,NA,NA,NA
Narrative of the Life of Frederick Douglass,Frederick Douglass,4.03,89921,1845,1135,Biography,No,NA,NA,NA,NA
Tuesdays with Morrie,Mitch Albom,4.11,760104,1997,1111,Biography,Yes,7.5,4177,1999,TV
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,4.21,39093,2015,1076,Biography,No,NA,NA,NA,NA
